06-10-2016, 10:12:33.00914 (000000ms)	ERR	rfid_DeallocateTags                	[325]	Invalid parameter given. tagCount is 0
06-10-2016, 10:12:34.00114 (000203ms)	ERR	rfid_DeallocateTags                	[325]	Invalid parameter given. tagCount is 0
06-10-2016, 10:12:34.00114 (000000ms)	ERR	rfid_DeallocateTags                	[325]	Invalid parameter given. tagCount is 0
06-10-2016, 10:12:35.00344 (001217ms)	ERR	rfid_DeallocateTags                	[325]	Invalid parameter given. tagCount is 0
06-10-2016, 10:12:35.00344 (000000ms)	ERR	rfid_DeallocateTags                	[325]	Invalid parameter given. tagCount is 0
06-10-2016, 10:12:35.00344 (000000ms)	ERR	rfid_DeallocateTags                	[325]	Invalid parameter given. tagCount is 0
06-10-2016, 10:12:35.00344 (000000ms)	ERR	rfid_DeallocateTags                	[325]	Invalid parameter given. tagCount is 0
06-10-2016, 10:12:35.00344 (000000ms)	ERR	rfid_DeallocateTags                	[325]	Invalid parameter given. tagCount is 0
06-10-2016, 10:12:35.00344 (000000ms)	ERR	rfid_DeallocateTags                	[325]	Invalid parameter given. tagCount is 0
06-10-2016, 10:12:35.00344 (000000ms)	ERR	rfid_DeallocateTags                	[325]	Invalid parameter given. tagCount is 0
06-10-2016, 10:12:35.00504 (000171ms)	ERR	rfid_DeallocateTags                	[325]	Invalid parameter given. tagCount is 0
06-10-2016, 10:12:35.00704 (000187ms)	ERR	rfid_DeallocateTags                	[325]	Invalid parameter given. tagCount is 0
06-10-2016, 10:12:35.00704 (000000ms)	ERR	rfid_DeallocateTags                	[325]	Invalid parameter given. tagCount is 0
06-10-2016, 10:12:35.00704 (000000ms)	ERR	rfid_DeallocateTags                	[325]	Invalid parameter given. tagCount is 0
06-10-2016, 10:12:35.00704 (000000ms)	ERR	rfid_DeallocateTags                	[325]	Invalid parameter given. tagCount is 0
06-10-2016, 10:12:35.00704 (000000ms)	ERR	rfid_DeallocateTags                	[325]	Invalid parameter given. tagCount is 0
06-10-2016, 10:12:35.00704 (000000ms)	ERR	rfid_DeallocateTags                	[325]	Invalid parameter given. tagCount is 0
06-10-2016, 10:12:36.00934 (001233ms)	ERR	rfid_DeallocateTags                	[325]	Invalid parameter given. tagCount is 0
06-10-2016, 10:12:36.00934 (000000ms)	ERR	rfid_DeallocateTags                	[325]	Invalid parameter given. tagCount is 0
06-10-2016, 10:12:36.00934 (000000ms)	ERR	rfid_DeallocateTags                	[325]	Invalid parameter given. tagCount is 0
06-10-2016, 10:12:36.00934 (000000ms)	ERR	rfid_DeallocateTags                	[325]	Invalid parameter given. tagCount is 0
06-10-2016, 10:12:36.00934 (000000ms)	ERR	rfid_DeallocateTags                	[325]	Invalid parameter given. tagCount is 0
06-10-2016, 10:12:36.00934 (000000ms)	ERR	rfid_DeallocateTags                	[325]	Invalid parameter given. tagCount is 0
06-10-2016, 10:12:36.00934 (000000ms)	ERR	rfid_DeallocateTags                	[325]	Invalid parameter given. tagCount is 0
06-10-2016, 10:12:36.00934 (000000ms)	ERR	rfid_DeallocateTags                	[325]	Invalid parameter given. tagCount is 0
06-10-2016, 10:12:36.00934 (000000ms)	ERR	rfid_DeallocateTags                	[325]	Invalid parameter given. tagCount is 0
06-10-2016, 10:12:36.00934 (000000ms)	ERR	rfid_DeallocateTags                	[325]	Invalid parameter given. tagCount is 0
06-10-2016, 10:12:37.00124 (000187ms)	ERR	rfid_DeallocateTags                	[325]	Invalid parameter given. tagCount is 0
06-10-2016, 10:12:37.00324 (000203ms)	ERR	rfid_DeallocateTags                	[325]	Invalid parameter given. tagCount is 0
06-10-2016, 10:12:37.00324 (000000ms)	ERR	rfid_DeallocateTags                	[325]	Invalid parameter given. tagCount is 0
06-10-2016, 10:12:38.00574 (001248ms)	ERR	rfid_DeallocateTags                	[325]	Invalid parameter given. tagCount is 0
